Romance,Thriller,Sci-Fi,Film-Noir,IMAX,Drama,Comedy,Animation,Mystery,Adventure,Fantasy,Musical,Western,Horror,Action,(no genres listed),Crime,Children,Documentary,War,ratings,arating,movie name
0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0.784186047,2.35255814,Toy Story (1995)
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.686363636,2.059090909,Jumanji (1995)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651923077,1.955769231,Grumpier Old Men (1995)
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471428571,0.141428571,Waiting to Exhale (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614285714,1.842857143,Father of the Bride Part II (1995)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.789215686,2.367647059,Heat (1995)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637037037,1.911111111,Sabrina (1995)
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.575,1.725,Tom and Huck (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.625,1.875,Sudden Death (1995)
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.699242424,2.097727273,GoldenEye (1995)
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734285714,2.202857143,"American President, The (1995)"
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.484210526,0.145263158,Dracula: Dead and Loving It (1995)
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.625,1.875,Balto (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766666667,2.3,Nixon (1995)
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.6,1.8,Cutthroat Island (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.785365854,2.356097561,Casino (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755223881,2.265671642,Sense and Sensibility (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,2.22,Four Rooms (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545454545,1.636363636,Ace Ventura: When Nature Calls (1995)
0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0.15,Money Train (1995)
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.698876404,2.096629213,Get Shorty (1995)
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.644444444,1.933333333,Copycat (1995)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.625,1.875,Assassins (1995)
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1.875,Powder (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725,2.175,Leaving Las Vegas (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,Othello (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666667,2,Now and Then (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845454545,2.536363636,Persuasion (1995)
0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.802631579,2.407894737,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,1.8,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636842105,1.910526316,Dangerous Minds (1995)
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.796610169,2.389830508,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.73046875,2.19140625,Babe (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.767164179,2.301492537,Dead Man Walking (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.425,0.1275,It Takes Two (1995)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658653846,1.975961538,Clueless (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,2.55,"Cry, the Beloved Country (1995)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.74,2.22,Richard III (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6,1.8,Dead Presidents (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6375,1.9125,Restoration (1995)
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.508695652,1.526086957,Mortal Kombat (1995)
0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6625,1.9875,To Die For (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613333333,1.84,How to Make an American Quilt (1995)
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.795073892,2.385221675,Seven (a.k.a. Se7en) (1995)
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.629411765,1.888235294,Pocahontas (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,When Night Is Falling (1995)
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.84754902,2.542647059,"Usual Suspects, The (1995)"
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692857143,2.078571429,Mighty Aphrodite (1995)
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,Lamerica (1994)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.466666667,0.14,"Big Green, The (1995)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.4,Georgia (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6125,1.8375,Home for the Holidays (1995)
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.805405405,2.416216216,"Postman, The (Postino, Il) (1994)"
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.647058824,1.941176471,"Indian in the Cupboard, The (1995)"
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,2.25,Eye for an Eye (1996)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74125,2.22375,Mr. Holland's Opus (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.542857143,1.628571429,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.132,Two if by Sea (1996)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506451613,1.519354839,Bio-Dome (1996)
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.15,Lawnmower Man 2: Beyond Cyberspace (1996)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,2.04,French Twist (Gazon maudit) (1995)
